source_key,source_page,source_position,name,comment,created_at
gameslice:p17:c1,17,1,Miguel,Greak book!,2011-07-04 20:57:00
gameslice:p17:c2,17,2,qntos,"I must say that this was the best spent 2 euros in my life :-] Great book, a must read (play?) for every Valve / Portal fan. I hope Half-Life 3 will also get a book like this :]",2011-07-04 20:29:00
gameslice:p17:c3,17,3,TheJester,"Great work! Great game! Don\'t worry, you didnt miss a thing, the game was spot on! Definatly looking forward to portal 3? :D:D",2011-07-04 20:00:00
gameslice:p17:c4,17,4,SpacedMonk,"everything is awsome, but why wasnt Day of Defeat included in any of the game poll questions??? the next game u guys should make is HL3 so u can make a DoD 3. and when u do, this time it should have all the same features and maps as the original, just with a new engine. U KNOW ITS WHAT THEY WANT!!!!",2011-07-04 16:17:00
gameslice:p17:c5,17,5,Matt O\'Toole,"Amazing as always, you guys aren't the best developers, as well as my favorite for now reason! As always continue being the tip of the spear! :)",2011-07-04 16:15:00
gameslice:p17:c6,17,6,Macbeth,"Where do I begin? 
This is a poetry of pixels no less. 
This story, this epic of how a few down to earth kids banded together to create the mesh of wit, creative valour and imagniation, has sent me bouncing off the walls. for some reason i had an instant and deep felt connection with these people, these guys and girls.
My eyes lit up with awe at the early concept works, and are continuing to swim around in my concious as I type this.
these creative and crafty masterminds, (that had me almost at wits ends in parts of portal2), I'd tip my hat to you...if i had one but i dont, so ill use this crab looking thing i found on some guys head...
reading the origins of valve, of portal, is so nostalgic, its that felling of ""wow this is where it all began"" like you loking throught a, well, time PORTAL if you will, into the fragile beginings of the magestic creation that is portal 2.
now i wont lie, i have become increasingly emulsified, and obssessed by this games world, I can close my eyes and run through chambers, excursion tunnels and make physics ma bitch....and you know what,i dont care if that makes me ""geeky"" its bloody amazing is what it is! and im soo glad that I could finally play a game that had me a the point of ""gnah, ok, I MUST finish this puzzle, I CAN finish this puzzle...otherwise GLaDOS will call me names again :("" 
and its not very often that a) i can find a game really able to stimulate my level of cognitive ability
and 2) made me think ""omg, these actually guys think like I do, we definately need to hang""
Valve has a relationship with its gamers, something thats created and grown not bought and sold, and personally Im so bloody glad to be a part of it.
my explsoive passion, enthrallment and love for this game actually cannot be expressed in words..
I cant wait for whats in store ^^",2011-07-04 14:56:00
gameslice:p17:c7,17,7,omNOMinator,"Awesome book, really well done!",2011-07-04 14:00:00
gameslice:p17:c8,17,8,Nick (Steam id gheat [nick6788]),Loved it!,2011-07-04 13:31:00
gameslice:p17:c9,17,9,mike,my 2 favorite game,2011-07-04 12:40:00
gameslice:p17:c10,17,10,마늘,"한국인으로서 이건 포탈2에 대한 모든게 나와있음

이런게 많이 나왔으면 좋겠구만",2011-07-04 12:00:00
